Name,City,Address,Nosach,shacharit_prayer,mincha_prayer,Aravit_prayer,Shacharit_Shabat_prayer,Mincha_Shabat_prayer,Aravit_Shabat_prayer,Access_disabled,women,Bar_mitzvah,Code
 הגדול, חדרה, הגיבורים 126,תימן שאמי,05:30,18:46,19:16,07:00,15:00,,TRUE,TRUE,TRUE,3
 היכל עציון (תחכמוני), חדרה, הנשיא,ספרד,06:10,19:15,20:15,,,,TRUE,TRUE,TRUE,3
" הרשב""י", חדרה, שיכון פאר,עדות המזרח,,,,07:15,,,TRUE,TRUE,TRUE,3
" חב""ד וילג'", חדרה," שכטמן 10 (קניון מול החוף, ליד הסופר פארם)",חבד,,16:00,,,,,TRUE,FALSE,FALSE,3
 יעקב, חדרה, הכנסת 15,אשכנז,06:00,,,,,,TRUE,TRUE,TRUE,3
 ישיבה של הרב כחלון, חדרה, הרצל,עדות המזרח,07:00,,,,,,FALSE,FALSE,FALSE,3
 כפר ברנדס, חדרה, האתרוג,אשכנז,,,19:50,,,,FALSE,FALSE,FALSE,3
 כתר תורה, חדרה, אבשלום פיינברג,ספרד,,,,,,,TRUE,TRUE,TRUE,3
 משיבת נפש, חדרה, אלי כהן 5,עדות המזרח,,,,,,,FALSE,FALSE,FALSE,3
 משכן דוד, חדרה, סמטת יהודית,עדות המזרח,05:00,,,,,,FALSE,TRUE,TRUE,3
 נצח, חדרה, רחוב אצל 11 חדרה אדמוני ישעיה,תימן,05:00,,,07:30,,,FALSE,TRUE,TRUE,3
 עזרת אחים, חדרה, הגפן 12,תימן,05:00,,,,,,FALSE,TRUE,TRUE,3
 עטרת צבי, חדרה, עולי הגרדום 7,ספרד,07:00,18:51,19:16,08:15,18:43,,TRUE,TRUE,TRUE,3
" עץ חיים רמב""ם", חדרה, הנביאים-גבעת אולגה 13,,,,,,,,TRUE,TRUE,TRUE,3
 קדושי ששת הימים, חדרה," סמטת הרב אלבז, שכונת יוספטל",עדות המזרח,05:00,,,,,,TRUE,TRUE,TRUE,3
" רמב""ם עץ החיים", חדרה, הנביאים 11 גבעת אולגה,תימן בלדי,,,,07:00,15:00,,TRUE,TRUE,TRUE,3
 שיח מיכאל, חדרה, ששת הימים,מרוקו,05:45,,,,,,FALSE,FALSE,FALSE,3
 שכונת שלמה, חדרה, הורד,אשכנז,06:30,,,08:00,,,TRUE,TRUE,TRUE,3
" שלום ישראל ע""ש שי וולשטין הי""ד", חדרה, הנשיא 34,ספרד,05:45,13:15,19:30,08:00,,,TRUE,TRUE,TRUE,3
 תלפיות, חדרה, הגר״א,אשכנז,,,,,,,FALSE,FALSE,FALSE,3
 תמני, חדרה, הגפן,תימן בלדי,,,,,,,FALSE,FALSE,FALSE,3
 תפארת ישרל, חדרה, בר אילן 1,תימן,05:06,,,,,,TRUE,TRUE,FALSE,3
 תפילת חנה, חדרה, כושי עפגין סמוך לבית הספר היסודי תחכמוני,מרוקו,05:50,16:15,,08:00,,,FALSE,TRUE,TRUE,3
 (בית העולה חולון), חולון, גאולים 25,עדות המזרח,,,,,,,FALSE,TRUE,TRUE,5
 אבי דוד, חולון, נג´רה 3,תימן בלדי,05:30,,,,,,FALSE,FALSE,TRUE,5
 אבי שלום, חולון, השיטה 37,תימן בלדי,05:20,,,07:00,17:00,,TRUE,TRUE,FALSE,5
 אביר יעקב, חולון, נחמיה 1,עדות המזרח,,,,,,,FALSE,FALSE,FALSE,5
 אברהם אבינו, חולון, יצחק הלוי 80,עדות המזרח,06:30,18:41,,07:00,15:30,,FALSE,TRUE,TRUE,5
 אגודת חסד ואמת, חולון, רחבעם זאבי 24,ספרד,05:00,,,07:00,,,FALSE,TRUE,TRUE,5
 אהבה ואחוה, חולון, פנחס לבון 1,עדות המזרח,05:45,,19:00,07:00,13:00,,FALSE,TRUE,TRUE,5
 אוהל בן שלום, חולון," ביל""ו 20",עדות המזרח,,,,06:30,12:30,,FALSE,TRUE,FALSE,5
 אוהל משה אלפרחי, חולון, יחזקאל 39,תימן שאמי,,,,07:15,,,FALSE,TRUE,TRUE,5
" אוהלי מנחם חב""ד", חולון, המרגנית 2 - פנחס אילון 13,חבד,06:00,13:30,,09:00,18:13,,FALSE,TRUE,TRUE,5
 אור חדש, חולון, התחיה 8,עדות המזרח,06:10,18:36,19:26,07:45,18:00,,FALSE,FALSE,FALSE,5
 אור-ציון, חולון, התחיה 14,עדות המזרח,07:00,,,,,,TRUE,TRUE,TRUE,5
 אורות הצחצחות, חולון, המצודה 26,חסידי,06:30,,,,,,FALSE,FALSE,FALSE,5
 אחווה ורעות, חולון, הנביאים 5,ספרד,06:10,,,08:00,,,TRUE,TRUE,TRUE,5
 אפיקי מיים, חולון, חזית חמש,חסידי,,,,,,,FALSE,FALSE,FALSE,5
 ארם נהרים, חולון, ברנר 9,ספרד,05:00,,,06:30,13:30,,FALSE,TRUE,FALSE,5
 בוכרי, חולון, קוגל,ספרד,,,,,,,FALSE,FALSE,FALSE,5
 בית אברהם, חולון, מפרץ שלמה 100,עדות המזרח,05:20,18:46,19:16,07:00,17:31,,FALSE,TRUE,TRUE,5
 בית אל, חולון, שטרוק 8,ספרד,05:30,18:53,20:15,08:15,,,TRUE,TRUE,TRUE,5
 בית אל, חולון," סוקולוב, כיכר ויצמן חולון 0545461245",ספרד,,,,,,,FALSE,TRUE,TRUE,5
 בית דוד, חולון, ברקת 28,ספרד,,,20:30,07:15,17:45,,FALSE,TRUE,TRUE,5
 בית הכנסת האשכנזי בן גוריון, חולון, חיים לנדאו 12,אשכנז,,,,07:45,18:19,,FALSE,TRUE,TRUE,5
 בית הכנסת האשכנזי המרכזי, חולון, לנדאו ק.ב.ג. 12,ספרד,,,,08:00,,,FALSE,TRUE,TRUE,5
 בית הכנסת הגדול, חולון, העלייה השנייה 37,ספרד,06:00,19:01,19:16,08:00,18:28,,TRUE,TRUE,TRUE,5
 בית הכנסת הגדול, חולון, הרב קוק 5,ספרד,05:55,,,07:30,,,TRUE,TRUE,TRUE,5
 בית כורש - אוהל יצחק, חולון, המצודה 1,,,,,,,,FALSE,TRUE,TRUE,5
 בית מדרש דברי שלום ואמת, חולון, השומר 19,ספרד,06:30,,20:00,,,,FALSE,TRUE,FALSE,5
 בית שלמה, חולון, הגבעול 1,חבד,06:15,,,08:00,,,FALSE,TRUE,TRUE,5
 בן פורת יוסף, חולון, מוהליבר 15,ספרד,,,,07:00,,,FALSE,TRUE,TRUE,5
 ברסלב, חולון, מצודה,חסידי,,,,,,,FALSE,TRUE,FALSE,5
 גאולת ישראל, חולון, אלופי צהל 10,מרוקו,07:00,,,,,,TRUE,TRUE,TRUE,5
 גבורת יצחק, חולון, עוזי נרקיס 4,ירושלמי,06:07,,,,,,TRUE,TRUE,TRUE,5
 דרכי נועם, חולון, לנדאו 12,ספרד,06:50,,,07:00,13:00,,FALSE,TRUE,FALSE,5
 היכל אליהו, חולון, שד´ קוגל 10,ספרד,06:00,,,07:00,14:30,,FALSE,TRUE,TRUE,5
 היכל משה, חולון, שער ציון 25,ירושלמי,05:45,,,,,,FALSE,TRUE,TRUE,5
 היכל משה, חולון, הסנהדרין 25,עדות המזרח,,,,08:05,,,FALSE,FALSE,FALSE,5
 היכל רפאל, חולון," אלופי צה""ל",ספרד,,,,08:15,19:05,,FALSE,TRUE,TRUE,5
 המרכבה בחצי חינם, חולון, המרכבה 31,עדות המזרח,,15:00,,,,,FALSE,FALSE,FALSE,5
 הרמב״ם, חולון, השילוח 23,עדות המזרח,05:30,19:25,20:05,07:00,18:00,,TRUE,TRUE,TRUE,5
 זכור לאברהם, חולון, מפרץ שלמה,עדות המזרח,06:20,13:20,,,,,FALSE,FALSE,FALSE,5
 זכר קדושים, חולון, זאב יעבץ 9,ספרד,,,,,,,TRUE,TRUE,TRUE,5
 זכרון לקדושים, חולון, הצפירה 5,אשכנז,,,,,,,FALSE,FALSE,FALSE,5
 חללי דקר, חולון, עין גדי 17,ספרד,06:00,16:30,19:00,07:15,,,TRUE,TRUE,TRUE,5
 חללי מערכות ישראל, חולון, החשמונאים 51,ספרד,05:30,,,,,,TRUE,TRUE,TRUE,5
 חסדי שמיים, חולון, קדושי קהיר,ספרד,06:00,19:10,20:00,07:00,14:00,,FALSE,FALSE,FALSE,5
 חצי חינם, חולון, הכישור 23,עדות המזרח,,16:00,16:25,,,,FALSE,FALSE,FALSE,5
 יוחנן בן זכאי, חולון, סעדיה גאון,ספרד,04:50,,,,,,FALSE,TRUE,TRUE,5
 יוסף חיים עטרת חכמים, חולון," החי""ם 4",עדות המזרח,07:20,13:00,19:00,07:00,,,FALSE,FALSE,FALSE,5
 יחד שבטי ישראל, חולון, הגאונים,לפי החזן,,,,,,,FALSE,TRUE,TRUE,5
 יעקובוב, חולון,[],ספרד,,,,,,,FALSE,FALSE,FALSE,5
 ישורון, חולון, אליעזר בן יהודה 10,אשכנז,06:25,,,,,,FALSE,FALSE,FALSE,5
 כורש, חולון,[],עדות המזרח,,,,,,,FALSE,FALSE,FALSE,5
 כנפי נשרים, חולון, לבון 1,תימן,05:30,17:15,,07:00,16:00,,TRUE,TRUE,TRUE,5
 כפוסי, חולון, שטרוק,עדות המזרח,05:00,18:41,,07:00,13:30,,TRUE,TRUE,TRUE,5
 כתר תורה, חולון, סנהדרין 27,עדות המזרח,07:20,,,,,,TRUE,TRUE,TRUE,5
 מאיר עיניים, חולון, משעול הפז 17,ספרד,05:50,,17:30,07:00,,,FALSE,TRUE,TRUE,5
 מגן דוד, חולון, הופיין 17,עדות המזרח,06:05,19:10,19:50,,,,TRUE,TRUE,TRUE,5
 מיישרים, חולון, שמעיה 9,ירושלמי,05:05,,,,,,FALSE,TRUE,FALSE,5
 מעוז יעקב, חולון," הגר""א 35",לפי החזן,06:00,,,08:15,,,FALSE,TRUE,TRUE,5
 מרכז עזריאלי חולון, חולון, הרוקמים 26,לפי החזן,07:15,13:30,,,,,TRUE,FALSE,FALSE,5
 משכן דוד, חולון, הרב קוק 7,ספרד,,,,08:00,18:58,,FALSE,TRUE,TRUE,5
 משכן מאיר, חולון, זרובבל 5,מרוקו,05:45,,,07:30,,,FALSE,TRUE,TRUE,5
 נחלת שלום, חולון, יהודה הלוי 31,ספרד,06:15,,,,,,FALSE,FALSE,FALSE,5
 נצח ישראל, חולון, העצמון 4,תימן,,,,,,,TRUE,TRUE,FALSE,5
 סוכת שלום, חולון, קאפח,ספרד,,,,,,,TRUE,TRUE,TRUE,5
 סולם יעקב, חולון, מרדכי מקלף 16,ספרד,06:30,,,07:00,12:00,,TRUE,TRUE,TRUE,5
 סעודאי, חולון, רוטשילד 7,ספרד,06:00,16:15,,,13:30,,FALSE,TRUE,FALSE,5
 עדת ישורון, חולון, סביון 7,ספרד,05:45,,,06:45,,,TRUE,TRUE,TRUE,5
 עושה שלום, חולון, רבי עקיבא 4,עדות המזרח,06:00,,,,,,TRUE,TRUE,TRUE,5
 עץ חיים, חולון, צבי שץ 12,תימן בלדי,05:30,,,07:00,,,FALSE,FALSE,FALSE,5
 פחד יצחק, חולון, הסנהדרין 15,עדות המזרח,,13:00,,,,,FALSE,TRUE,FALSE,5
 קדושי בבל, חולון, אשתאול 5,עדות המזרח,,,,,,,FALSE,FALSE,FALSE,5
" קדושי צה""ל", חולון," הפלמ""ח 4",עדות המזרח,05:45,14:00,,07:00,,,FALSE,TRUE,TRUE,5
 רבי מאיר בעל הנס תל גיבורים, חולון, התותחנים 9,ספרד,05:00,,,,,,TRUE,TRUE,TRUE,5
 רחל אימנו, חולון, כיכר סטרומה 2,ספרד,,,,06:45,13:45,,FALSE,FALSE,FALSE,5
" רמב""ם", חולון, השופטים 10,,,,,,,,TRUE,TRUE,FALSE,5
 שבות עם, חולון, הרצוג 17,תימן בלדי,05:55,,,07:00,,,FALSE,FALSE,TRUE,5
 תעשיות מיגון אש, חולון, הנפח 4,ספרד,,16:10,,,,,FALSE,FALSE,FALSE,5
 תפארת בחורים, חולון, עין גדי1 1,עדות המזרח,05:30,,,07:45,,,FALSE,TRUE,TRUE,5
 הגדול, חזון,[],יוצאי לוב,06:00,,,07:45,,,TRUE,TRUE,FALSE,2
 רחוב הראשונים 22, חיבת ציון, דרור 1 חיבת,ספרד,05:55,18:51,19:19,08:00,,,TRUE,TRUE,TRUE,4
 טל גנים, חיננית, טל מנשה,לפי החזן,07:45,18:30,20:00,07:08,13:00,,TRUE,TRUE,FALSE,7
 טל מנשה, חיננית,[],לפי החזן,05:50,,21:45,07:00,,,FALSE,TRUE,FALSE,7
  שערי צדק הגליל, חיפה, חסן שוקרי 18 - הדר,ספרד,,14:00,17:00,,,,FALSE,FALSE,FALSE,3
 אבות ובנים, חיפה, קלר 6,אחיד,06:00,18:41,19:01,,,,TRUE,TRUE,TRUE,3
 אביר יעקוב, חיפה, ערד 9,ספרד,06:00,,,,,,FALSE,TRUE,TRUE,3
 אהבת ישראל, חיפה, הרותם 1,עדות המזרח,,,,,,,FALSE,FALSE,TRUE,3
 אהבת תורה- ויזניץ, חיפה, מיכאל 1,חסידי,07:45,18:48,22:00,08:30,18:28,,FALSE,TRUE,FALSE,3
 אהל אהרן, חיפה, קרית הטכניון,לפי החזן,07:00,,,,,,TRUE,TRUE,TRUE,3
 אוהב ישראל, חיפה, עבס 14,ספרד,,13:00,17:35,,,,FALSE,FALSE,FALSE,3
 אוהל אברהם, חיפה, בית אל 22,אשכנז,,,,,,,FALSE,FALSE,FALSE,3
 אוהל אהרון - טכניון, חיפה, קרית הטכניון,לפי החזן,07:00,14:00,19:33,07:45,,,TRUE,TRUE,TRUE,3
 אוהל ברכה, חיפה, שימקין 17,ספרד,06:15,,,08:00,13:00,,TRUE,TRUE,TRUE,3
 אוהל מועד, חיפה, אידר,אשכנז,,,,,,,FALSE,FALSE,TRUE,3
 אור הכרמל, חיפה, שער הלבנון 4,ירושלמי,06:00,,20:30,07:45,,,TRUE,TRUE,TRUE,3
 אור תמימים, חיפה, פרישמן,חבד,,,,,19:00,,FALSE,TRUE,TRUE,3
 אלי כוהן, חיפה, קירית אליעזר,ספרד,,,,10:00,,,FALSE,FALSE,FALSE,3
 אליהו הנביא, חיפה, סיני 16,ספרד,05:30,18:56,,08:00,,,TRUE,TRUE,TRUE,3
 אליהו הנביא, חיפה, סטרומה 5,ספרד,,,,,,,FALSE,FALSE,FALSE,3
" בי""ח רמב""ם", חיפה," בי""ח רמב""ם",לפי החזן,06:00,13:30,,,,,TRUE,TRUE,FALSE,3
 בית אל, חולון," סוקולוב, כיכר ויצמן חולון 0545461245",ספרד,,,,,,,FALSE,TRUE,TRUE,5
" בית הכנסת ""כרמל המערבי""", חיפה, אילנות 18,אחיד,05:54,,,08:00,,,TRUE,TRUE,TRUE,3
 בית הכנסת האשכנזי רמות רמז, חיפה, ברנר 13,ספרד,,,,08:00,16:15,,FALSE,TRUE,TRUE,3
 בית הכנסת המרכזי - קריית אליהו, חיפה, תל אביב 37,ספרד,06:20,19:03,19:33,07:30,,,TRUE,TRUE,TRUE,3
 בית הכנסת המרכזי-הר הכרמל, חיפה, דרך הים 10,אחיד,06:30,16:20,17:50,,,,FALSE,TRUE,TRUE,3
 בית הכנסת הספרדי הגדול , חיפה, ברנר 15,עדות המזרח,,17:30,18:45,07:15,17:40,,FALSE,TRUE,TRUE,3
 בית הכנסת שווירץ, חיפה, שדרות הנשיא 67,,06:00,19:30,,08:30,,,TRUE,TRUE,TRUE,3
 בית כנסת, חיפה, בדרך יד לבנים קרוב לבית ספר גבראלי,עדות המזרח,06:30,,,,,,FALSE,FALSE,FALSE,3
 בית מדרש המרכזי בהדר, חיפה, הרִצל 62,לפי החזן,05:30,13:45,19:15,08:00,18:44,,TRUE,FALSE,TRUE,3
 בית רבינו, חיפה," פיק""א 8",ספרד,05:55,16:20,17:40,07:30,,,TRUE,TRUE,FALSE,3
 בית רוטנברג, חיפה, שדרות הנשיא 77,אחיד,,,,08:30,,,FALSE,TRUE,FALSE,3
 בני ברית, חיפה, חורב 16,ספרד,07:00,,,,,,FALSE,TRUE,TRUE,3
 בעלזא, חיפה, הרצוג 5,חסידי,05:46,13:30,17:30,08:30,,,FALSE,FALSE,FALSE,3
 גבורת ישראל, חיפה, אלנבי 126,ספרד,06:30,19:02,19:16,07:30,18:42,,FALSE,TRUE,TRUE,3
 הגדול, חיפה, הרצל,אשכנז,,,,,,,FALSE,FALSE,FALSE,3
 הגדול ברמות רמז, חיפה, דב בר בורוכוב 34,ספרד,,,,,,,FALSE,FALSE,FALSE,3
 היכל אבנר, חיפה, שארית הפליטה 91,אשכנז,,,,,,,FALSE,FALSE,FALSE,3
 היכל אליהו, חיפה, התמר,ספרד,05:45,,,07:30,,,TRUE,TRUE,TRUE,3
 היכל אליעזר, חיפה, אינשטיין 54,ספרד,06:10,,,08:00,13:08,,FALSE,TRUE,TRUE,3
 היכל הגליל, חיפה, חסן שוקרי 18,לפי החזן,,14:00,,,,,FALSE,FALSE,FALSE,3
 היכל זוהרה, חיפה, חנה סנש 40,ספרד,06:00,,,,,,TRUE,TRUE,TRUE,3
 היכל חנינה, חיפה, דרך צרפת 79,עדות המזרח,05:30,,,,,,TRUE,TRUE,TRUE,3
 היכל שושנה, חיפה, חוף השנהב 43,,,,,,,,FALSE,FALSE,FALSE,3
 היכל שלמה, חיפה, דרך הים 179,מרוקו,,,,07:30,18:16,,FALSE,FALSE,TRUE,3
 היכל שמואל, חיפה, דרך יד לבנים 97,אשכנז,,,,,,,FALSE,FALSE,FALSE,3
 היכל שמשון, חיפה, נתיב חן 29,ספרד,,,,08:00,19:00,,FALSE,TRUE,TRUE,3
 המנין התימני - אור וישועה, חיפה, חניתה 96,תימן,,,,07:00,,,FALSE,FALSE,TRUE,3
" הסלוניקאי ע""ש רבי חיים חביב", חיפה, אלנבי 126,ספרד,,,,,,,FALSE,TRUE,TRUE,3
 הספרדי באחוזה, חיפה, אידר 25,עדות המזרח,05:45,18:46,19:21,07:30,18:13,,FALSE,TRUE,TRUE,3
 הרשבי, חיפה, יהודה הלוח 56,ספרד,,,,,,,TRUE,TRUE,TRUE,3
 ורדיה, חיפה, ורדיה 26,עדות המזרח,05:45,,,07:30,18:16,,TRUE,TRUE,TRUE,3
 זיו התורה, חיפה, הגליל 52,עדות המזרח,05:41,13:00,21:00,07:41,,,FALSE,TRUE,FALSE,3
" חב""ד", חיפה, הרצל 56,חבד,06:30,,20:30,,,,FALSE,FALSE,FALSE,3
 חסד לאברהם, חיפה, קליבנוב 27,עדות המזרח,05:45,,,,,,FALSE,FALSE,TRUE,3
 חסידי רדזין, חיפה, גאולה 24,אשכנז,,,,08:45,18:46,,FALSE,TRUE,FALSE,3
 חתם סופר, חיפה," יל""ג 11",אשכנז,07:45,,22:15,,,,FALSE,TRUE,FALSE,3
 יגדיל תורה, חיפה, בילו 7,עדות המזרח,,,,07:45,,,TRUE,TRUE,TRUE,3
 יזרעאליה, חיפה, כניסה אחורית של בית ספר יזרעאליה,ספרד,,19:03,,08:30,,,FALSE,FALSE,FALSE,3
 יחד שבטי ישראל, חיפה, בדרך יד לבנים קרוב לבית ספר גבראלי,עדות המזרח,06:30,,,,,,FALSE,FALSE,FALSE,3
 יחד שבטי ישראל, חיפה, חטיבת כרמלי 46,ספרד,,,,,,,FALSE,TRUE,TRUE,3
 ישיבת אור וישועה, חיפה, חניתה 96,לפי החזן,06:00,15:30,20:00,07:30,18:18,,TRUE,TRUE,TRUE,3
 ישראל הצעיר, חיפה, אורן 50,ספרד,06:00,18:56,19:16,,,,FALSE,TRUE,TRUE,3
 ישראל יאיר, חיפה, אהוד 18,ספרד,06:10,16:30,,08:15,16:15,,FALSE,TRUE,TRUE,3
 כבביר, חיפה, קדימה,אחיד,,,,,,,FALSE,FALSE,FALSE,3
 כל ישראל, חיפה, הרב מימון 25,ספרד,,,,08:00,18:45,,FALSE,FALSE,TRUE,3
 כנסת ישראל, חיפה," רש""י 1",ספרד,06:15,18:21,19:02,08:00,18:33,,TRUE,TRUE,TRUE,3
 לשם שמים, חיפה, יד לבנים 202,מרוקו,05:30,,,07:30,,,TRUE,TRUE,TRUE,3
 מאור יהודה, חיפה, בליטנטל 15,ספרד,06:10,,,08:15,,,TRUE,TRUE,TRUE,3
 מאור יצחק, חיפה, יואב,ספרד,,,,,,,FALSE,FALSE,FALSE,3
 מאור שאנן, חיפה, ציון,ספרד,,,,,,,FALSE,TRUE,TRUE,3
 מאור שרגא, חיפה, אליעזר אלתר 30,ספרד,,,,,,,FALSE,TRUE,TRUE,3
 מאיר, חיפה, הצלפים 5,ספרד,05:50,,,08:00,18:43,,FALSE,TRUE,TRUE,3
 מגן אברהם, חיפה, מסדה 8,עדות המזרח,,16:15,17:00,08:00,,,FALSE,TRUE,TRUE,3
 מגן אברהם, חיפה, רענן 2,ספרד,,,,08:00,18:43,,TRUE,FALSE,FALSE,3
 מוהל יצחק, חיפה, בית אל 17,ספרד,,,,,,,FALSE,FALSE,FALSE,3
 מוריה -אברהם לוי, חיפה, אנלביץ 26,עדות המזרח,05:10,,,,,,TRUE,FALSE,FALSE,3
" מיסודו של הרב מ""מ קופרשטוך", חיפה, צפת 5,ספרד,,,,07:45,18:48,,FALSE,TRUE,TRUE,3
 מניין הנוער, חיפה, התיכון 39,ספרד,,,,08:00,12:00,,FALSE,TRUE,TRUE,3
 מנין פאר ירושלים, חיפה, גורדון 1,עדות המזרח,05:50,18:33,,07:00,,,FALSE,TRUE,FALSE,3
 מעבדות יבמ אוניברסיטת חיפה, חיפה," בניין IBM, חיפה",ספרד,,13:35,,,,,FALSE,FALSE,FALSE,3
 מערת אליהו הנביא, חיפה, אלנבי,עדות המזרח,05:45,,,,,,FALSE,TRUE,TRUE,3
 משכן שאנן, חיפה, ציון,,,,,,,,TRUE,TRUE,TRUE,3
 נוה ציון, חיפה, ציון 39,עדות המזרח,,,,,,,TRUE,TRUE,TRUE,3
 נוה תפילה, חיפה, התיכון 39,ספרד,,,,07:30,,,FALSE,TRUE,FALSE,3
 נצח ישראל, חיפה, שדרות בן גוריון 57,חבד,,,,,,,TRUE,TRUE,TRUE,3
 ספרדי, חיפה, אריה דולצ´ין,עדות המזרח,,,20:00,,,,FALSE,FALSE,FALSE,3
 עידן, חיפה, שדרות פל ים 8,תוניס,,13:30,,,,,FALSE,FALSE,FALSE,3
 עמרם דוד, חיפה, חשמונאים 6,מרוקו,05:30,,,,,,FALSE,TRUE,TRUE,3
 עקדת יצחק, חיפה," ש""י עגנון 21",עדות המזרח,,18:44,,07:00,18:42,,TRUE,TRUE,TRUE,3
 פאר ישראל, חיפה, קליבנוב,ספרד,06:06,18:43,,08:00,,,TRUE,TRUE,TRUE,3
" צא""י", חיפה, ביתר 1,אשכנז,06:30,13:20,19:23,08:00,13:20,,FALSE,TRUE,FALSE,3
 צאנז, חיפה,[],חסידי,07:08,,,,,,FALSE,FALSE,FALSE,3
 צפרירים, חיפה, כיכר היינריך היינה 24,מרוקו,,,,,,,TRUE,TRUE,TRUE,3
 קהילת מוריה, חיפה, חורב 7,אחיד,,,,08:45,,,FALSE,FALSE,TRUE,3
 קיבוץ גלויות בית שמואל, חיפה, החותרים 7,אשכנז,05:50,,,,,,FALSE,FALSE,FALSE,3
" רבי יעקב אבוחצירא זצ""ל", חיפה, סעדיה גאון,עדות המזרח,,,,,,,FALSE,TRUE,FALSE,3
 רבי עקיבא, חיפה, רבי עקיבא 19,ספרד,06:30,12:45,18:15,08:00,13:20,,FALSE,TRUE,FALSE,3
" רמב""ם", חיפה, התיכון 39,ספרד,05:00,18:58,19:33,08:00,12:45,,TRUE,TRUE,TRUE,3
 רמת אשכול, חיפה, ראול ולנברג 11,ספרד,06:30,,21:30,,,,TRUE,TRUE,TRUE,3
" רשב""י", חיפה," צה""ל",עדות המזרח,05:00,,,,,,TRUE,TRUE,TRUE,3
 שארית ישראל, חיפה, אילת 4,ספרד,06:00,19:02,19:23,08:00,13:00,,TRUE,TRUE,TRUE,3
 שבת אחים סלוניקאים, חיפה,[],ספרד,,,,,,,FALSE,FALSE,FALSE,3
 שטיבל גור, חיפה, ארלזרוב,ספרד,,,,,,,FALSE,TRUE,FALSE,3
 שער הרחמים, חיפה, סעדיה פז 36,עדות המזרח,05:10,,,07:00,,,TRUE,TRUE,TRUE,3
 שערי תורה, חיפה, הגבורים 25 25,ספרד,,,,06:50,,,FALSE,FALSE,FALSE,3
 תורה ותפילה, חיפה, הקלעים 8,עדות המזרח,,18:41,19:01,07:30,,,TRUE,TRUE,TRUE,3
 תפארת מנשה, חיפה, בר-גיורא 10,ספרד,06:15,,,08:30,13:15,,FALSE,FALSE,FALSE,3
 תפארת שאנן, חיפה, יהושע השל 2,מרוקו,06:00,18:55,19:35,07:30,18:15,,TRUE,TRUE,TRUE,3
 אוהל חנה, חלמיש,[],ספרד,05:50,,20:15,08:00,,,TRUE,TRUE,TRUE,7
 תמני, חלמיש, ליד המכולת,תימן,,,,,,,TRUE,TRUE,FALSE,7
 בית הכנסת הגדול, חמד,[],ספרד,05:45,,19:31,,,,TRUE,TRUE,FALSE,4
 מניין הנוער, חמד,[],אחיד,,,,08:00,,,TRUE,TRUE,FALSE,4
 משכנות דן , חמד, שדרות העומר,עדות המזרח,08:00,16:15,,,,,FALSE,FALSE,FALSE,4
 שרעבי, חמד, הזית,אחיד,06:20,,21:00,,,,TRUE,TRUE,FALSE,4
 חמדת, חמדת,[],לפי החזן,05:55,16:30,20:00,08:00,,,FALSE,TRUE,TRUE,7
 שוויוני בקיבוץ חנתון, חנתון, חנתון,לפי החזן,,,,,,,TRUE,FALSE,TRUE,2
 הישיבה התיכונית, חספין,[],לפי החזן,07:00,,,,,,FALSE,FALSE,FALSE,2
 המרכזי, חספין,[],לפי החזן,06:00,13:15,19:45,05:45,12:30,,TRUE,TRUE,FALSE,2
 הספרדי, חספין," מול המתנ""ס",עדות המזרח,07:45,,,,,,FALSE,TRUE,FALSE,2
 ישיבת הגולן, חספין,[],ספרד,07:00,15:15,19:30,,,,TRUE,TRUE,FALSE,2
 חפץ חיים, חפץ חיים, חפץ,עדות המזרח,,,,,,,FALSE,FALSE,FALSE,4
 קיבוץ חפץ חיים, חפץ חיים, חפץ חיים חפץ,אשכנז,05:45,,,,,,TRUE,TRUE,FALSE,4
 ״כהני-יה״, חצור הגלילית, הרמב״ם חצור,מרוקו,05:15,,,,,,TRUE,FALSE,FALSE,2
 אהל ראובן, חצור הגלילית," רחוב תש""ח חצור",ספרד,06:00,16:15,17:00,,,,FALSE,TRUE,TRUE,2
 הקריה החסידית, חצור הגלילית, חצור,חסידי,09:20,,,,,,FALSE,FALSE,FALSE,2
" הרמב""ה", חצור הגלילית, דרך הבנים חצור,ספרד,,,,,,,FALSE,TRUE,FALSE,2
 חוני המעגל (ז´אוויה), חצור הגלילית, הירדן חצור,עדות המזרח,06:00,19:15,20:15,08:00,,,TRUE,TRUE,TRUE,2
 מרכז הרב, חצור הגלילית, דרך הבנים חצור,לפי החזן,06:00,,,,,,FALSE,FALSE,FALSE,2
 נתיבות ישראל, חצור הגלילית, הגאולים חצור,ספרד,05:30,,19:45,08:30,18:00,,FALSE,TRUE,TRUE,2
 קול יעקב של העדה הפרסית, חצור הגלילית, לוי אשכול 20 חצור,עדות המזרח,06:00,,,07:30,,,TRUE,TRUE,TRUE,2
 שמחת חיים, חצור הגלילית, הבוסתן חצור,לפי החזן,,,,,,,FALSE,FALSE,FALSE,2
 שערי דעה, חצור הגלילית, הרב עזיזי דיעי חצור,תוניס,06:30,,,,,,FALSE,FALSE,FALSE,2
 שערי שלום לתוניסאים, חצור הגלילית, הנשיא ליד גן הלל חצור,תוניס,05:00,,,,,,TRUE,TRUE,TRUE,2
 בית הכנסת חריש, חריש, שד גמלא,לפי החזן,06:15,,19:45,,,,TRUE,TRUE,TRUE,3
